group,seed,survived,refresh,eat,divide,pop,energy
g3_nonopt_nogate,7052,true,0.010131,0.277352,0.149821,26.87,20.97
g4_nonopt_gate_exp,7052,true,0.249004,0.249004,0.000000,4.00,98.00
g4_nonopt_gate_ctrl,7052,true,0.016319,0.206178,0.021282,29.63,27.94
g2_opt_gate,7053,true,0.008223,0.154529,0.022568,154.50,27.83
g3_nonopt_nogate,7053,true,0.009024,0.331194,0.096274,29.12,24.24
g4_nonopt_gate_exp,7053,true,0.017032,0.211075,0.021531,28.88,28.15
g4_nonopt_gate_ctrl,7053,true,0.016961,0.298873,0.021247,28.20,28.91
g2_opt_gate,7054,true,0.018009,0.220239,0.015364,108.91,39.17
g3_nonopt_nogate,7054,true,0.008848,0.247790,0.096184,29.81,24.21
g4_nonopt_gate_exp,7054,true,0.087361,0.313900,0.069609,24.90,25.07
g4_nonopt_gate_ctrl,7054,true,0.029136,0.298970,0.020019,24.51,32.30
g2_opt_gate,7055,true,0.010149,0.212425,0.020819,126.85,30.42
g3_nonopt_nogate,7055,true,0.009072,0.273151,0.096189,28.94,24.11
g4_nonopt_gate_exp,7055,true,0.230258,0.150119,0.056717,14.14,55.60
g4_nonopt_gate_ctrl,7055,true,0.008514,0.305387,0.022087,30.54,26.51
g2_opt_gate,7056,true,0.010236,0.220667,0.017176,122.20,35.58
g3_nonopt_nogate,7056,true,0.009360,0.367296,0.124943,28.18,19.27
g4_nonopt_gate_exp,7056,true,0.014907,0.243897,0.022155,30.29,26.65
g4_nonopt_gate_ctrl,7056,true,0.026941,0.290757,0.020161,26.43,31.67
g2_opt_gate,7057,true,0.091581,0.140741,0.041042,156.90,26.13
g3_nonopt_nogate,7057,true,0.009171,0.367789,0.096087,28.41,24.14
g4_nonopt_gate_exp,7057,true,0.007929,0.204295,0.022137,32.64,26.41
g4_nonopt_gate_ctrl,7057,true,0.009044,0.332358,0.096122,29.31,24.40
g2_opt_gate,7058,true,0.012548,0.220546,0.016689,117.32,36.65
g3_nonopt_nogate,7058,true,0.224418,0.152519,0.096045,32.00,24.28
g4_nonopt_gate_exp,7058,true,0.016970,0.298594,0.021251,28.30,28.73
g4_nonopt_gate_ctrl,7058,true,0.049761,0.375159,0.101537,18.69,31.55
g2_opt_gate,7059,true,0.019192,0.216703,0.015919,112.27,39.03
g3_nonopt_nogate,7059,true,0.109783,0.296689,0.232858,24.95,20.25
