group,seed,survived,avg_pop,avg_energy,eat_ratio,refresh_ratio,divide_ratio
D_square_d0,221,true,20.02,30.04,0.277877,0.156987,0.108117
D_square_d0,222,true,17.67,33.36,0.340602,0.102196,0.078622
D_square_d0,223,true,18.23,31.95,0.381061,0.040878,0.101157
D_square_d0,224,true,21.89,22.48,0.296110,0.024233,0.122405
D_square_d0,225,true,2.00,98.00,0.249004,0.249004,0.000000
D_square_d0,226,true,23.80,18.91,0.216156,0.022404,0.177378
D_square_d0,227,true,2.00,98.00,0.249004,0.249004,0.000000
D_square_d0,228,true,2.00,98.00,0.249004,0.249004,0.000000
D_square_d0,229,true,3.00,96.33,0.207503,0.249004,0.000000
E_random_d200,200,true,3.00,98.33,0.166003,0.249004,0.000000
E_random_d200,201,true,24.54,32.52,0.248242,0.210798,0.085477
E_random_d200,202,true,3.00,98.00,0.249004,0.249004,0.000000
E_random_d200,203,true,23.08,20.06,0.308529,0.011310,0.122823
E_random_d200,204,true,24.61,22.29,0.285999,0.010595,0.072747
E_random_d200,205,true,2.00,98.50,0.186753,0.249004,0.000000
E_random_d200,206,true,23.37,22.71,0.372512,0.011093,0.102610
E_random_d200,207,true,21.80,19.49,0.230262,0.130804,0.238637
E_random_d200,208,true,2.00,96.48,0.186753,0.249004,0.000000
E_random_d200,209,true,23.80,23.46,0.439262,0.011125,0.119028
E_random_d200,210,true,24.95,21.98,0.286054,0.010569,0.072734
E_random_d200,211,true,4.00,96.44,0.217878,0.249004,0.000000
E_random_d200,212,true,20.80,24.73,0.382596,0.052760,0.089194
E_random_d200,213,true,1.00,97.99,0.249004,0.249004,0.000000
E_random_d200,214,true,20.47,25.24,0.347238,0.137390,0.096586
E_random_d200,215,true,23.38,27.16,0.347007,0.211387,0.087266
E_random_d200,216,true,4.00,97.95,0.249004,0.249004,0.000000
E_random_d200,217,true,25.37,22.03,0.269800,0.013060,0.104385
E_random_d200,218,true,21.32,30.79,0.363864,0.121410,0.105637
E_random_d200,219,true,3.00,98.00,0.249004,0.249004,0.000000
E_random_d200,220,true,2.00,97.81,0.249004,0.249004,0.000000
E_random_d200,221,true,1.00,97.99,0.249004,0.249004,0.000000
E_random_d200,222,true,4.00,96.99,0.404631,0.249004,0.000000
E_random_d200,223,true,25.59,17.70,0.185335,0.079112,0.143250
E_random_d200,224,true,19.80,43.38,0.169599,0.165885,0.118288
E_random_d200,225,true,25.00,22.01,0.269878,0.010327,0.104273
E_random_d200,226,true,3.25,92.79,0.211995,0.197301,0.007879
E_random_d200,227,true,3.00,98.00,0.249004,0.249004,0.000000
E_random_d200,228,true,21.12,30.93,0.409558,0.035313,0.087007
E_random_d200,229,true,24.35,19.16,0.390288,0.011102,0.126392
F_nosignal,200,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,201,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,202,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,203,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,204,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,205,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,206,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,207,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,208,true,28.91,22.93,0.338059,0.038012,0.141592
F_nosignal,209,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,210,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,211,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,212,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,213,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,214,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,215,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,216,true,2.00,98.00,0.249004,0.249004,0.000000
F_nosignal,217,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,218,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,219,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,220,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,221,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,222,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,223,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,224,true,18.17,57.77,0.225916,0.215754,0.067724
F_nosignal,225,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,226,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,227,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,228,true,3.00,98.00,0.249004,0.249004,0.000000
F_nosignal,229,true,3.00,98.00,0.249004,0.249004,0.000000
