seed,group,survived,pop,energy,refresh,eat,divide
9061,ctrl,true,39.65,25.04,0.000419,0.248421,0.022695
9062,exp,true,23.29,35.65,0.040118,0.283504,0.018738
9062,ctrl,true,35.92,26.23,0.006380,0.303143,0.022110
9063,exp,true,27.62,32.18,0.009030,0.202722,0.018502
9063,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9064,exp,true,10.00,93.74,0.231573,0.133663,0.000000
9064,ctrl,true,38.32,24.67,0.034318,0.260279,0.023234
9065,exp,true,32.86,28.31,0.007634,0.154901,0.022116
9065,ctrl,true,35.20,26.27,0.006382,0.300842,0.022103
9066,exp,true,29.98,26.36,0.008459,0.303598,0.021958
9066,ctrl,true,46.00,24.88,0.197863,0.109995,0.065911
9067,exp,true,2.00,96.57,0.233773,0.178768,0.000000
9067,ctrl,true,40.02,24.74,0.015844,0.248787,0.022941
9068,exp,true,28.00,48.66,0.216587,0.119011,0.042758
9068,ctrl,true,28.13,32.46,0.008049,0.213269,0.019057
9069,exp,true,8.58,75.32,0.182744,0.223105,0.021148
9069,ctrl,true,38.42,27.37,0.133774,0.323454,0.064195
9070,exp,true,22.00,55.41,0.198005,0.115676,0.044481
9070,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9071,exp,true,25.59,31.93,0.009962,0.211872,0.019968
9071,ctrl,true,30.60,30.94,0.022367,0.293829,0.020398
9072,exp,true,33.24,28.19,0.007618,0.154918,0.022122
9072,ctrl,true,41.24,25.10,0.000076,0.239924,0.022751
9073,exp,true,25.89,31.55,0.027251,0.155129,0.020139
9073,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9074,exp,true,25.73,31.26,0.009945,0.211876,0.019978
9074,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9075,exp,true,9.00,94.73,0.214522,0.202298,0.000000
9075,ctrl,true,34.03,28.24,0.016607,0.228095,0.021368
9076,exp,true,28.02,37.07,0.182247,0.240743,0.054973
9076,ctrl,true,15.24,59.85,0.193736,0.262933,0.037465
9077,exp,true,29.69,29.27,0.016180,0.147640,0.021278
9077,ctrl,true,37.49,26.21,0.025844,0.303474,0.065111
9078,exp,true,4.29,92.40,0.213584,0.228218,0.001431
9078,ctrl,true,36.78,23.57,0.177925,0.199764,0.073268
9079,exp,true,29.35,28.00,0.189210,0.119196,0.073994
9079,ctrl,true,39.40,24.68,0.000125,0.219201,0.022682
9080,exp,true,7.00,95.77,0.224737,0.209021,0.000000
9080,ctrl,true,34.84,27.02,0.015428,0.276123,0.021971
9081,exp,true,5.00,96.40,0.221122,0.221122,0.000000
9081,ctrl,true,37.51,25.83,0.014492,0.243454,0.022470
9082,exp,true,18.80,38.28,0.194850,0.208761,0.063403
9082,ctrl,true,28.25,32.95,0.008040,0.213282,0.019062
